table|_field|_measurement|_start|_stop|_target|_time|_value
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T09:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T09:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T10:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T10:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T11:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T11:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T12:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T12:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T13:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T13:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T14:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T14:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T15:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T15:30:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T16:00:00+00:00|None
0|value|shellies|2023-04-08T02:06:04.366388+00:00|2023-06-07T02:06:04.366388+00:00|None|2023-05-04T16:30:00+00:00|None
