table|_time|_value
0|2023-04-16T00:41:34.997704+00:00|162.7
0|2023-04-16T00:42:05.000311+00:00|159.99
0|2023-04-16T00:42:35.005474+00:00|159.58
0|2023-04-16T00:43:05.007741+00:00|159.14
0|2023-04-16T00:43:35.012845+00:00|160.85
0|2023-04-16T00:44:05.016703+00:00|158.58
0|2023-04-16T00:44:35.021596+00:00|162.04
0|2023-04-16T00:45:05.022949+00:00|161.29
0|2023-04-16T00:45:35.027590+00:00|159.94
0|2023-04-16T00:46:05.030336+00:00|159.08
0|2023-04-16T00:46:35.034675+00:00|161.96
0|2023-04-16T00:47:05.040384+00:00|161.33
0|2023-04-16T00:47:35.042422+00:00|159.75
0|2023-04-16T00:48:05.046540+00:00|161.01
0|2023-04-16T00:48:35.050354+00:00|159.81
0|2023-04-16T00:49:05.054396+00:00|159.72
0|2023-04-16T00:49:35.057531+00:00|157.96
0|2023-04-16T00:50:05.063389+00:00|160.4
0|2023-04-16T00:50:35.065597+00:00|158.55
0|2023-04-16T00:51:05.069516+00:00|159.61
0|2023-04-16T00:51:35.072901+00:00|159.42
0|2023-04-16T00:52:05.076736+00:00|160.64
0|2023-04-16T00:52:35.081120+00:00|163.2
0|2023-04-16T00:53:05.084654+00:00|159.55
0|2023-04-16T00:53:35.088092+00:00|158.83
0|2023-04-16T00:54:05.091861+00:00|158.25
0|2023-04-16T00:54:35.095849+00:00|159.86
0|2023-04-16T00:55:05.100029+00:00|161.39
0|2023-04-16T00:55:35.104250+00:00|161.49
0|2023-04-16T00:56:05.107757+00:00|160.23
0|2023-04-16T00:56:35.111700+00:00|159.75
0|2023-04-16T00:57:05.116488+00:00|158.05
0|2023-04-16T00:57:35.120139+00:00|159.56
0|2023-04-16T00:58:05.124110+00:00|157.98
0|2023-04-16T00:58:35.127565+00:00|163.49
0|2023-04-16T00:59:05.131547+00:00|160.72
0|2023-04-16T00:59:35.135202+00:00|160.02
0|2023-04-16T01:00:05.140965+00:00|158.92
0|2023-04-16T01:00:35.143879+00:00|159.47
0|2023-04-16T01:00:57.312295+00:00|167.97
0|2023-04-16T01:01:03.311007+00:00|159.89
0|2023-04-16T01:01:05.147272+00:00|160.37
0|2023-04-16T01:01:08.311294+00:00|168.77
0|2023-04-16T01:01:19.311008+00:00|158.75
0|2023-04-16T01:01:35.151043+00:00|158.01
0|2023-04-16T01:02:05.156751+00:00|159.66
0|2023-04-16T01:02:35.158657+00:00|162.23
0|2023-04-16T01:03:05.162568+00:00|161.79
0|2023-04-16T01:03:35.166919+00:00|159.33
0|2023-04-16T01:04:05.171234+00:00|159.03
0|2023-04-16T01:04:35.173530+00:00|160.35
0|2023-04-16T01:05:05.177505+00:00|161.05
0|2023-04-16T01:05:35.180978+00:00|159.52
0|2023-04-16T01:06:05.184550+00:00|158.25
0|2023-04-16T01:06:35.188361+00:00|160.8
0|2023-04-16T01:07:05.192669+00:00|158.52
0|2023-04-16T01:07:35.195478+00:00|157.82
0|2023-04-16T01:08:05.199484+00:00|157.99
0|2023-04-16T01:08:35.203832+00:00|158.58
0|2023-04-16T01:09:05.207407+00:00|160.5
0|2023-04-16T01:09:35.210646+00:00|159.96
0|2023-04-16T01:10:05.214876+00:00|159.89
0|2023-04-16T01:10:35.218620+00:00|161.39
0|2023-04-16T01:11:05.222094+00:00|158.41
0|2023-04-16T01:11:35.225792+00:00|158.89
0|2023-04-16T01:12:05.229769+00:00|160.15
0|2023-04-16T01:12:35.234008+00:00|159.69
0|2023-04-16T01:13:05.237260+00:00|159.85
0|2023-04-16T01:13:35.242284+00:00|160.8
0|2023-04-16T01:14:05.245778+00:00|158.69
0|2023-04-16T01:14:35.248625+00:00|159.7
0|2023-04-16T01:15:05.252770+00:00|158.52
0|2023-04-16T01:15:35.258016+00:00|158.86
0|2023-04-16T01:16:05.260381+00:00|158.78
0|2023-04-16T01:16:35.264211+00:00|160.57
0|2023-04-16T01:17:05.269677+00:00|161.78
0|2023-04-16T01:17:35.275745+00:00|160.29
0|2023-04-16T01:18:05.276839+00:00|159.78
0|2023-04-16T01:18:35.280605+00:00|159.61
0|2023-04-16T01:19:05.284208+00:00|161.15
0|2023-04-16T01:19:35.291471+00:00|159.52
0|2023-04-16T01:20:05.291398+00:00|160.61
0|2023-04-16T01:20:16.267582+00:00|168.86
0|2023-04-16T01:20:31.265732+00:00|160.27
0|2023-04-16T01:20:35.294538+00:00|161.65
0|2023-04-16T01:21:05.300095+00:00|159.5
0|2023-04-16T01:21:35.302176+00:00|158.59
0|2023-04-16T01:22:05.306259+00:00|159.11
0|2023-04-16T01:22:35.310819+00:00|157.52
0|2023-04-16T01:23:05.315186+00:00|157.99
0|2023-04-16T01:23:35.317819+00:00|158.97
