#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,Assembly,Device,Location,Sensor,Signal,_field,_measurement,host,topic
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:09:59.837273541Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:00.850563184Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:14.519959154Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:15.567249838Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:39.45077829Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:40.504498338Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:53.379761878Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:10:54.443362382Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:16.777703268Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:17.832623448Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:30.09003884Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:31.094391686Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:41.899290106Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:42.904219133Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:55.53559716Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:11:56.580997988Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:13.811587184Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:14.860590102Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:28.350462466Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:29.34312371Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:40.307995862Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:12:41.360494243Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:13:10.910403914Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:13:11.971093115Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:13:24.535691184Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:13:25.574273304Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:13:37.390106683Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,2,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:06:52.63837941Z,1,Conveyor,Conveyor,AFB,10B3,10B3,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B3
,,2,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:06:53.838169316Z,0,Conveyor,Conveyor,AFB,10B3,10B3,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B3
,,2,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:04.404963869Z,1,Conveyor,Conveyor,AFB,10B3,10B3,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B3
,,2,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:04.656752365Z,0,Conveyor,Conveyor,AFB,10B3,10B3,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B3
